hits,Page Name,Page Type
78147,A,National
77981,C,National
66638,D,National
57342,E,National
48405,F,National
39989,G,National
36471,H,National
34752,I,National
30561,J,National
30208,K,National
29316,L,National
29281,M,National
28352,N,National
25156,O,National
24661,P,National
22092,Q,National
16733,R,National
14013,S,National
13600,T,Consumer
12799,U,National
12774,V,National
12007,W,Business
9975,X,Business
9593,Y,Consumer
9525,Z,National
9215,AA,Consumer
8952,AB,Consumer
8855,AC,National
8795,AD,National
8611,AE,Consumer
8495,AF,Consumer
8482,AG,National
8442,AH,Consumer
8404,AI,Consumer
8028,AJ,Consumer
8025,AK,Consumer
7740,AL,National
7593,AM,Consumer
7274,AN,Business
7111,AO,Consumer
7111,AP,Business
7105,AQ,Consumer
6855,AR,Consumer
6485,AS,Consumer
6269,AT,Business
5985,AU,Consumer
5700,AV,Consumer
5634,AW,Consumer
5568,AX,Business
5452,AY,National
5390,AZ,Business
4870,BA,Consumer
4852,BB,Business
4780,BC,Consumer
4592,BD,Business
4564,BE,Consumer
4498,BF,Consumer
4482,BG,National
4476,BH,Business
4460,BI,Consumer
4188,BJ,National
4169,BK,Business
3991,BL,Consumer
3991,BM,National
3984,BN,Business
3975,BO,Business
3950,BP,Consumer
3841,BQ,Consumer
3834,BR,Business
3831,BS,Business
3794,BT,Consumer
3775,BU,Consumer
3715,BV,Business
3634,BW,Business
3562,BX,Consumer
3537,BY,Consumer
3374,BZ,Consumer
3371,CA,Business
3365,CB,Consumer
3355,CC,Business
3355,CD,Business
3333,CE,Business
3305,CF,Business
3183,CG,Business
3161,CH,Consumer
3139,CI,Consumer
3108,CJ,Consumer
3099,CK,Business
3096,CL,Consumer
3033,CM,Business
3024,CN,Business
2961,CO,Business
2952,CP,National
2911,CQ,Consumer
2902,CR,Business
2895,CS,Business
2867,CT,Consumer
2861,CU,Business
2833,CV,Consumer
2795,CW,Consumer
2795,CX,Business
2792,CY,Business
2789,CZ,Consumer
2751,DA,Business
2729,DB,Consumer
2723,DC,Business
2698,DD,Business
2689,DE,Consumer
2682,DF,Consumer
