Ticket ID,Ticket name,Ticket status,Create date,Ticket owner,Source,Category,Company ID,Amount,Customer Type,Duration being a customer (years),Status
3873,ERZ,Closed,07/12/2020,Rob,Web,Page Adding,2530840286,2326,One,2,Customer
3874,ESA,Closed,06/12/2020,Rob,Web,Page Adding,2530840286,2326,One,2,Customer
3875,ESB,Closed,06/12/2020,Rob,Web,Page Adding,2530840286,2326,One,2,Customer
3876,ESC,Closed,17/11/2020,Tony,Web,Page Update,2530840286,2326,One,2,Customer
3877,ESD,Closed,17/11/2020,Tony,Web,Page Update,2530840286,2326,One,2,Customer
3878,ESE,Closed,23/07/2020,Tony,Web,Page Adding,2530840286,2326,One,2,Customer
151,EV,Closed,26/05/2020,Bill,Email,,942625758,5005,Two,4,Customer
152,EW,Closed,26/05/2020,Bill,Email,,942625758,5005,Two,4,Customer
153,EX,Closed,26/05/2020,Bill,Email,,942625758,5005,Two,4,Customer
154,EY,Closed,22/05/2020,Bill,Email,,942625758,5005,Two,4,Customer
155,EZ,Closed,19/05/2020,Bill,Email,,942625758,5005,Two,4,Customer
306,KU,Closed,11/06/2020,Bill,Email,,942625758,5005,Two,4,Customer
307,KV,Closed,11/06/2020,Bill,Email,,942625758,5005,Two,4,Customer
1910,BUM,Closed,03/12/2020,Rob,Web,Page Adding,942625758,5005,Two,4,Customer
1911,BUN,Closed,30/11/2020,Tony,Web,Page Adding,942625758,5005,Two,4,Customer
1912,BUO,Closed,26/11/2020,Rob,Web,Page Update,942625758,5005,Two,4,Customer
1913,BUP,Closed,18/11/2020,Rob,Web,,942625758,5005,Two,4,Customer
1914,BUQ,Closed,16/11/2020,Rob,Web,Page Update,942625758,5005,Two,4,Customer
1915,BUR,Closed,19/10/2020,Rob,Web,Page Update,942625758,5005,Two,4,Customer
1916,BUS,Closed,16/10/2020,Rob,Web,General,942625758,5005,Two,4,Customer
1917,BUT,Closed,22/09/2020,Tony,Web,Page Update,942625758,5005,Two,4,Customer
1918,BUU,Closed,08/09/2020,Tony,Web,Page Update,942625758,5005,Two,4,Customer
1919,BUV,Closed,07/09/2020,Rob,Web,Page Update,942625758,5005,Two,4,Customer
1920,BUW,Closed,01/07/2020,Bill,Web,Page Adding,942625758,5005,Two,4,Customer
1921,BUX,Closed,01/07/2020,Bill,Web,Page Adding,942625758,5005,Two,4,Customer
1922,BUY,Closed,01/07/2020,Bill,Web,Page Adding,942625758,5005,Two,4,Customer
1923,BUZ,Closed,01/07/2020,Bill,Web,Page Adding,942625758,5005,Two,4,Customer
1924,BVA,Closed,01/07/2020,Bill,Web,Page Adding,942625758,5005,Two,4,Customer
1925,BVB,Closed,01/07/2020,Bill,Web,Page Adding,942625758,5005,Two,4,Customer
1926,BVC,Closed,29/06/2020,Bill,Email,Page Update,942625758,5005,Two,4,Customer
1927,BVD,Closed,18/06/2020,Bill,Email,,942625758,5005,Two,4,Customer
1928,BVE,Closed,18/06/2020,Bill,Email,,942625758,5005,Two,4,Customer
1929,BVF,Closed,18/06/2020,Bill,Email,,942625758,5005,Two,4,Customer
1930,BVG,Closed,11/06/2020,Bill,Email,,942625758,5005,Two,4,Customer
